Dist.,School,DBN,Grade Level,Type of School,Principal,Arts Education Liaision,Cultural & Arts Partners,Arts Discipline,Total Number of Students Served,Total Contact Hours Per Student,Dist.
,High School for Law and Public Service,06M467,"09,10,11,12,SE",High School,Nicholas Politis,Ayana Wigfall,New Victory Theatre,Theater,,,
,High School for Media and Communications,06M463,"09,10,11,12,SE",High School,Juan Villar,Emel Topbas-Mejia,None,,,,
,I.S. 528 Bea Fuller Rodgers School,06M528,"06,07,08,SE",Middle School,Carlos Pichardo,Kelly Finlaw,Alvin Ailey Dance Foundation,Dance,,,
,I.S. 528 Bea Fuller Rodgers School,06M528,"06,07,08,SE",Middle School,Carlos Pichardo,Kelly Finlaw,Urban Arts Partnership,Music,,,
,I.S. 528 Bea Fuller Rodgers School,06M528,"06,07,08,SE",Middle School,Carlos Pichardo,Kelly Finlaw,Urban Arts Partnership,Visual Arts,,,
,Inwood Early College for Health and Information Technologies,06M211,"09,10,11,12,SE",High School,Samona Tait,Samona Tait,Catalyst,Dance,,,
,J.H.S. 052 Inwood (aka Harold O. Levy),06M052,"06,07,08,SE",Middle School,Lupe Leon,Brian Moore,Studio in a School Association,Visual Arts,,,
,J.H.S. 143 Eleanor Roosevelt,06M143,"06,07,08,SE",Middle School,Lakisha Mcdaniel Luke,Patricia Gil,None,,,,
,M.S. 319 - Maria Teresa,06M319,"06,07,08,SE",Middle School,Ysidro Abreu,Jeremy Battersby,None,,,,
,M.S. 324 - Patria Mirabal,06M324,"06,07,08,SE",Middle School,Janet Heller,Julie Shannon,Artists Space Inc.,Visual Arts,,,
,M.S. 324 - Patria Mirabal,06M324,"06,07,08,SE",Middle School,Janet Heller,Julie Shannon,Center for Arts Education,Theater,,,
,M.S. 324 - Patria Mirabal,06M324,"06,07,08,SE",Middle School,Janet Heller,Julie Shannon,Midori Foundation dba Midori & Friends,Music,,,
,M.S. 324 - Patria Mirabal,06M324,"06,07,08,SE",Middle School,Janet Heller,Julie Shannon,"New 42nd Street Victory Theatre, The",Theater,,,
,M.S. 324 - Patria Mirabal,06M324,"06,07,08,SE",Middle School,Janet Heller,Julie Shannon,Urban Arts Partnership,Visual Arts,,,
,Middle School 322,06M322,"06,07,08,SE",Middle School,Erica Zigelman,Anthony Vitale,Urban Arts Partnership,Other,,,
,P.S. 004 Duke Ellington,06M004,"PK,0K,01,02,03,04,05,SE",Elementary School,Adam Stevens,Jose Cantu,Arts Connection,Theater,,,
,P.S. 004 Duke Ellington,06M004,"PK,0K,01,02,03,04,05,SE",Elementary School,Adam Stevens,Jose Cantu,Lotus Fine Arts Production,Dance,,,
,P.S. 004 Duke Ellington,06M004,"PK,0K,01,02,03,04,05,SE",Elementary School,Adam Stevens,Jose Cantu,Midori Foundation dba Midori & Friends,Music,,,
,P.S. 005 Ellen Lurie,06M005,"PK,0K,01,02,03,04,05,SE",Elementary School,Christophe Anest,Ana Luisa Ariza-Paulino,Center for Arts Education,Music,,,
,P.S. 005 Ellen Lurie,06M005,"PK,0K,01,02,03,04,05,SE",Elementary School,Christophe Anest,Ana Luisa Ariza-Paulino,Shen Wei Dance Arts,Dance,,,
,P.S. 008 Luis Belliard,06M008,"PK,0K,01,02,03,04,05,SE",Elementary School,Washington Hernandez,Erin Young,American Classical Orchestra,Music,,,
,P.S. 008 Luis Belliard,06M008,"PK,0K,01,02,03,04,05,SE",Elementary School,Washington Hernandez,Erin Young,Jazz Foundation,Music,,,
,P.S. 008 Luis Belliard,06M008,"PK,0K,01,02,03,04,05,SE",Elementary School,Washington Hernandez,Erin Young,Little Kids Rock,Music,,,
,P.S. 008 Luis Belliard,06M008,"PK,0K,01,02,03,04,05,SE",Elementary School,Washington Hernandez,Erin Young,Music and the Brain,Music,,,
,P.S. 008 Luis Belliard,06M008,"PK,0K,01,02,03,04,05,SE",Elementary School,Washington Hernandez,Erin Young,Sing for Hope,Music,,,
,P.S. 018 Park Terrace,06M018,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Connie Mejia,Marilyn Casey,Ballet Tech Foundation,Dance,,,
,P.S. 018 Park Terrace,06M018,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Connie Mejia,Marilyn Casey,Rosie's Theatre Kids,Theater,,,
,P.S. 018 Park Terrace,06M018,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Connie Mejia,Marilyn Casey,Urban Arts Partnership,Visual Arts,,,
,P.S. 028 Wright Brothers,06M028,"PK,0K,01,02,03,04,05,SE",Elementary School,Awilda Baez,Sheeri Novick,"Arts Horizons, Inc.",Other,,,
,P.S. 028 Wright Brothers,06M028,"PK,0K,01,02,03,04,05,SE",Elementary School,Awilda Baez,Sheeri Novick,Guggenheim Museum,Visual Arts,,,
,P.S. 028 Wright Brothers,06M028,"PK,0K,01,02,03,04,05,SE",Elementary School,Awilda Baez,Sheeri Novick,Sugar Hill Children's Museum of Art & Storytelling,Visual Arts,,,
,P.S. 048 P.O. Michael J. Buczek,06M048,"PK,0K,01,02,03,04,05,SE",Elementary School,Tracy Walsh,Kalitchi Figueroa,Dancing Classroom American Ballroom,Dance,,,
,P.S. 048 P.O. Michael J. Buczek,06M048,"PK,0K,01,02,03,04,05,SE",Elementary School,Tracy Walsh,Kalitchi Figueroa,"New 42nd Street Victory Theatre, The",Theater,,,
,P.S. 048 P.O. Michael J. Buczek,06M048,"PK,0K,01,02,03,04,05,SE",Elementary School,Tracy Walsh,Kalitchi Figueroa,Salvadori Center,Visual Arts,,,
,P.S. 098 Shorac Kappock,06M098,"PK,0K,01,02,03,04,05,SE",Elementary School,Maritza Rodriguez,Dafne Sanchez-Aldama,Rosie's Theatre Kids,Theater,,,
,P.S. 115 Alexander Humboldt,06M115,"PK,0K,01,02,03,04,05,SE",Elementary School,Boris Consuegra,Annie De La Cruz,Ballroom Dancing,Dance,,,
,P.S. 128 Audubon,06M128,"PK,0K,01,02,03,04,05,SE",Elementary School,Cary Pantaleon,Suzanne Griffing,Dancing Classroom American Ballroom,Dance,,,
,P.S. 128 Audubon,06M128,"PK,0K,01,02,03,04,05,SE",Elementary School,Cary Pantaleon,Suzanne Griffing,Shakespear Society,--,,,
,P.S. 132 Juan Pablo Duarte,06M132,"0K,01,02,03,04,05,SE",Elementary School,Jessica Torres,N/A,Urban Arts Partnership,Visual Arts,,,
,P.S. 152 Dyckman Valley,06M152,"PK,0K,01,02,03,04,05,SE",Elementary School,Julia Pietri,Stella Castillo,American Ballroom Theatre,Dance,,,
,P.S. 152 Dyckman Valley,06M152,"PK,0K,01,02,03,04,05,SE",Elementary School,Julia Pietri,Stella Castillo,Carnegie Hall Corporation,Music,,,
,P.S. 152 Dyckman Valley,06M152,"PK,0K,01,02,03,04,05,SE",Elementary School,Julia Pietri,Stella Castillo,CHRISTOPHER J JOHNSON,Theater,,,
,P.S. 152 Dyckman Valley,06M152,"PK,0K,01,02,03,04,05,SE",Elementary School,Julia Pietri,Stella Castillo,DRUM CAFE,Music,,,
,P.S. 152 Dyckman Valley,06M152,"PK,0K,01,02,03,04,05,SE",Elementary School,Julia Pietri,Stella Castillo,Foundation for the Revival of Classical Culture,Music,,,
,P.S. 153 Adam Clayton Powell,06M153,"PK,0K,01,02,03,04,05,SE",Elementary School,Karen Bailey,Sol Flores,None,,,,
,P.S. 173,06M173,"PK,0K,01,02,03,04,05,SE",Elementary School,Rachael Garcia,Erin Belmond,None,,,,
,P.S. 189,06M189,"PK,0K,01,02,03,04,05,SE",Elementary School,Rosalina Perez,Yvonne Trabal,92nd Street YMCA,Music,,,
,P.S. 189,06M189,"PK,0K,01,02,03,04,05,SE",Elementary School,Rosalina Perez,Yvonne Trabal,Dancing Classroom American Ballroom,Dance,,,
,P.S. 189,06M189,"PK,0K,01,02,03,04,05,SE",Elementary School,Rosalina Perez,Yvonne Trabal,"Metropolitan Opera Guild, The",Theater,,,
,P.S. 189,06M189,"PK,0K,01,02,03,04,05,SE",Elementary School,Rosalina Perez,Yvonne Trabal,Music and the Brain,Music,,,
,P.S. 189,06M189,"PK,0K,01,02,03,04,05,SE",Elementary School,Rosalina Perez,Yvonne Trabal,National Dance Institute,Dance,,,
,P.S. 189,06M189,"PK,0K,01,02,03,04,05,SE",Elementary School,Rosalina Perez,Yvonne Trabal,"TheatreMoves, Inc.",Theater,,,
,P.S. 192 Jacob H. Schiff,06M192,"PK,0K,01,02,03,04,05,SE",Elementary School,Hilduara Abreu,Justin Kravetz,Creative Art Works,Visual Arts,,,
,P.S. 192 Jacob H. Schiff,06M192,"PK,0K,01,02,03,04,05,SE",Elementary School,Hilduara Abreu,Justin Kravetz,Lincoln Center Education,Dance,,,
,P.S. 192 Jacob H. Schiff,06M192,"PK,0K,01,02,03,04,05,SE",Elementary School,Hilduara Abreu,Justin Kravetz,Sugar Hill Children's Museum of Art & Storytelling,Visual Arts,,,
,"P.S. 314, Muscota New School (Muscota)",06M314,"0K,01,02,03,04,05",Elementary School,Camille Wallin,Allison Maltz,Carnegie Hall Corporation,Music,,,
,"P.S. 314, Muscota New School (Muscota)",06M314,"0K,01,02,03,04,05",Elementary School,Camille Wallin,Allison Maltz,Paul Taylor's Dance Company,Dance,,,
,"P.S. 314, Muscota New School (Muscota)",06M314,"0K,01,02,03,04,05",Elementary School,Camille Wallin,Allison Maltz,Shakespeare Festival,Theater,,,
,"P.S. 314, Muscota New School (Muscota)",06M314,"0K,01,02,03,04,05",Elementary School,Camille Wallin,Allison Maltz,STREB,Dance,,,
,P.S./I.S. 187 Hudson Cliffs,06M187,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Cynthia Chory,Nilda Marrero,City Kids Art,Other,,,
,P.S./I.S. 187 Hudson Cliffs,06M187,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Cynthia Chory,Nilda Marrero,Teachers and Writers Collaborative,Other,,,
,P.S./I.S. 187 Hudson Cliffs,06M187,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Cynthia Chory,Nilda Marrero,Wingspan Arts,Visual Arts,,,
,P.S./I.S. 187 Hudson Cliffs,06M187,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Cynthia Chory,Nilda Marrero,Young Audiences New York,Theater,,,
,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,06M210,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Evelyn Linares,William Todd Anderson,Dance Theatre of Harlem,Dance,,,
,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,06M210,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Evelyn Linares,William Todd Anderson,Hispanic Society,Visual Arts,,,
,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,06M210,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Evelyn Linares,William Todd Anderson,"Metropolitan Museum of Art, The",Visual Arts,,,
,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,06M210,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Evelyn Linares,William Todd Anderson,Whitney Museum of American Art,Visual Arts,,,
,Paula Hedbavny School,06M278,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Lillian Reyes,Noelle Knight,92nd st Y,Dance,,,
,Paula Hedbavny School,06M278,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Lillian Reyes,Noelle Knight,Carnegie Hall Corporation,Visual Arts,,,
,Paula Hedbavny School,06M278,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Lillian Reyes,Noelle Knight,Center for Arts Education,--,,,
,Paula Hedbavny School,06M278,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Lillian Reyes,Noelle Knight,Salvadori Center,Visual Arts,,,
,Professor Juan Bosch Public School,06M178,"0K,01,02,03,04,05,SE",Elementary School,Deirdre Budd,Carmen Gomez,Dancing Classroom American Ballroom,Dance,,,
,Professor Juan Bosch Public School,06M178,"0K,01,02,03,04,05,SE",Elementary School,Deirdre Budd,Carmen Gomez,"Morgan Library, The",Visual Arts,,,
,Professor Juan Bosch Public School,06M178,"0K,01,02,03,04,05,SE",Elementary School,Deirdre Budd,Carmen Gomez,Music Teacher,Music,,,
,Professor Juan Bosch Public School,06M178,"0K,01,02,03,04,05,SE",Elementary School,Deirdre Budd,Carmen Gomez,Studio in a School Association,Visual Arts,,,
,The College Academy,06M462,"09,10,11,12,SE",High School,Timothy Sigerson,Meghan Mcdonough,None,,,,
,The Mott Hall School,06M223,"06,07,08,SE",Middle School,Judith De Los Santos,Gregory Vigrass,Multicultural Music Group,Music,,,
,The Mott Hall School,06M223,"06,07,08,SE",Middle School,Judith De Los Santos,Gregory Vigrass,National Dance Institute,Dance,,,
,Washington Heights Academy,06M366,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Renzo Martinez,Mercedes Diaz,OTHER,Dance,,,
,Washington Heights Expeditionary Learning School,06M348,"PK,0K,01,02,03,06,07,08,09,10,11,12,SE",PK - 12,Thomas Rochowicz,Graham Johnson,92nd Street YMCA,Dance,,,
,Washington Heights Expeditionary Learning School,06M348,"PK,0K,01,02,03,06,07,08,09,10,11,12,SE",PK - 12,Thomas Rochowicz,Graham Johnson,Alley Pond Environmental Center,Other,,,
,Washington Heights Expeditionary Learning School,06M348,"PK,0K,01,02,03,06,07,08,09,10,11,12,SE",PK - 12,Thomas Rochowicz,Graham Johnson,American Museum of Natural History,Other,,,
,Washington Heights Expeditionary Learning School,06M348,"PK,0K,01,02,03,06,07,08,09,10,11,12,SE",PK - 12,Thomas Rochowicz,Graham Johnson,Carnegie Hall Corporation,Music,,,
,Washington Heights Expeditionary Learning School,06M348,"PK,0K,01,02,03,06,07,08,09,10,11,12,SE",PK - 12,Thomas Rochowicz,Graham Johnson,Harlem Stage,Music,,,
,Washington Heights Expeditionary Learning School,06M348,"PK,0K,01,02,03,06,07,08,09,10,11,12,SE",PK - 12,Thomas Rochowicz,Graham Johnson,Jazz at Lincoln Center,Music,,,
,Washington Heights Expeditionary Learning School,06M348,"PK,0K,01,02,03,06,07,08,09,10,11,12,SE",PK - 12,Thomas Rochowicz,Graham Johnson,Jazz Foundation,Music,,,
,Washington Heights Expeditionary Learning School,06M348,"PK,0K,01,02,03,06,07,08,09,10,11,12,SE",PK - 12,Thomas Rochowicz,Graham Johnson,Little Kids Rock,Music,,,
,Washington Heights Expeditionary Learning School,06M348,"PK,0K,01,02,03,06,07,08,09,10,11,12,SE",PK - 12,Thomas Rochowicz,Graham Johnson,Manhattan School of Music,Music,,,
,Washington Heights Expeditionary Learning School,06M348,"PK,0K,01,02,03,06,07,08,09,10,11,12,SE",PK - 12,Thomas Rochowicz,Graham Johnson,"Metropolitan Museum of Art, The",Visual Arts,,,
,Washington Heights Expeditionary Learning School,06M348,"PK,0K,01,02,03,06,07,08,09,10,11,12,SE",PK - 12,Thomas Rochowicz,Graham Johnson,Museum of Modern Art,Visual Arts,,,
,Washington Heights Expeditionary Learning School,06M348,"PK,0K,01,02,03,06,07,08,09,10,11,12,SE",PK - 12,Thomas Rochowicz,Graham Johnson,Museum of the Moving Image,Film/Media,,,
,Washington Heights Expeditionary Learning School,06M348,"PK,0K,01,02,03,06,07,08,09,10,11,12,SE",PK - 12,Thomas Rochowicz,Graham Johnson,Orpheus Chamber Orchestra,Music,,,
,Washington Heights Expeditionary Learning School,06M348,"PK,0K,01,02,03,06,07,08,09,10,11,12,SE",PK - 12,Thomas Rochowicz,Graham Johnson,People's Theatre Project,Theater,,,
,Washington Heights Expeditionary Learning School,06M348,"PK,0K,01,02,03,06,07,08,09,10,11,12,SE",PK - 12,Thomas Rochowicz,Graham Johnson,Sugar Hill Children's Museum of Art & Storytelling,Visual Arts,,,
,Washington Heights Expeditionary Learning School,06M348,"PK,0K,01,02,03,06,07,08,09,10,11,12,SE",PK - 12,Thomas Rochowicz,Graham Johnson,Supermud Pottery Studio,Visual Arts,,,
,Washington Heights Expeditionary Learning School,06M348,"PK,0K,01,02,03,06,07,08,09,10,11,12,SE",PK - 12,Thomas Rochowicz,Graham Johnson,The Possibility Project,Theater,,,
,Washington Heights Expeditionary Learning School,06M348,"PK,0K,01,02,03,06,07,08,09,10,11,12,SE",PK - 12,Thomas Rochowicz,Graham Johnson,Theatre Development Fund,Theater,,,
,Home Instruction,75M501,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",K - 12,Ramona Pizarro,Paul Posillico,Bronx Family Day,Visual Arts,,,
,Home Instruction,75M501,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",K - 12,Ramona Pizarro,Paul Posillico,Brooklyn Center for the Performing Arts,Visual Arts,,,
,Home Instruction,75M501,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",K - 12,Ramona Pizarro,Paul Posillico,Lincoln Center Theatre,Theater,,,
,Hospital Schools,75M401,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",K - 12,Mary Maher,Eileen Lever,"Arts Horizons, Inc.",Visual Arts,,,
,Hospital Schools,75M401,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",K - 12,Mary Maher,Eileen Lever,"Arts Horizons, Inc.",Music,,,
,Hospital Schools,75M401,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",K - 12,Mary Maher,Eileen Lever,"Arts Horizons, Inc.",Dance,,,
,Hospital Schools,75M401,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",K - 12,Mary Maher,Eileen Lever,Museum of Modern Art,Visual Arts,,,
,Manhattan School for Career Development,75M751,"09,10,11,12,SE",High School,Ewa Asterita,Yakeen Dinmahamad,Alvin Ailey Dance Foundation,Dance,,,
,Manhattan School for Career Development,75M751,"09,10,11,12,SE",High School,Ewa Asterita,Yakeen Dinmahamad,Marquis Studios,Film/Media,,,
,Manhattan School for Career Development,75M751,"09,10,11,12,SE",High School,Ewa Asterita,Yakeen Dinmahamad,Marquis Studios,Music,,,
,Manhattan School for Career Development,75M751,"09,10,11,12,SE",High School,Ewa Asterita,Yakeen Dinmahamad,Marquis Studios,Visual Arts,,,
,Manhattan School for Career Development,75M751,"09,10,11,12,SE",High School,Ewa Asterita,Yakeen Dinmahamad,Marquis Studios,Dance,,,
,Manhattan School for Career Development,75M751,"09,10,11,12,SE",High School,Ewa Asterita,Yakeen Dinmahamad,MUSIC ENGINIERRING/SONG WRITING],Music,,,
,Manhattan School for Career Development,75M751,"09,10,11,12,SE",High School,Ewa Asterita,Yakeen Dinmahamad,Zumba,Dance,,,
,P.S. 035,75M035,"01,02,03,04,05,07,08,09,10,11,12,SE",1st - 12th,Marta Barnett,Marta Barnett,None,,,,
,P.S. 138,75M138,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",K - 12,Gregg Soulette,Patrice Odonnell,Broadway Playhouse,Theater,,,
,P.S. 138,75M138,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",K - 12,Gregg Soulette,Patrice Odonnell,Daniel's Music Foundation,Music,,,
,P.S. 138,75M138,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",K - 12,Gregg Soulette,Patrice Odonnell,Henry Street Settlement,Dance,,,
,P.S. 138,75M138,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",K - 12,Gregg Soulette,Patrice Odonnell,Laser Art,Visual Arts,,,
,P.S. 138,75M138,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",K - 12,Gregg Soulette,Patrice Odonnell,Museum of Modern Art,Visual Arts,,,
,P.S. 138,75M138,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",K - 12,Gregg Soulette,Patrice Odonnell,NYU Nordoff Robbins,Music,,,
,P.S. M079 - Horan School,75M079,"06,07,08,09,10,11,12,SE",Middle and High School,Greer Phillips,Minna Cohen,Harlem Studio Museum,Visual Arts,,,
,P.S. M094,75M094,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",K - 12,Jeanne Bradley,Ashley Hodge,Arts Connection,Theater,,,
,P.S. M094,75M094,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",K - 12,Jeanne Bradley,Ashley Hodge,Marquis Studios,Dance,,,
,P.S. M094,75M094,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",K - 12,Jeanne Bradley,Ashley Hodge,Marquis Studios,Theater,,,
,P.S. M094,75M094,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",K - 12,Jeanne Bradley,Ashley Hodge,Marquis Studios,Visual Arts,,,
,P.S. M169 - Robert F. Kennedy,75M169,"0K,01,02,03,04,05,06,07,08,09,10,12,SE",K - 12,Susan Finn,Julia John,Alvin Ailey Dance Foundation,Dance,,,
,P.S. M169 - Robert F. Kennedy,75M169,"0K,01,02,03,04,05,06,07,08,09,10,12,SE",K - 12,Susan Finn,Julia John,Step Up,Dance,,,
,P.S. M226,75M226,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",PK - 12,Inmaculada Jardi,Almita Magloire,"Arts Horizons, Inc.",Visual Arts,,,
,P.S. M226,75M226,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",PK - 12,Inmaculada Jardi,Almita Magloire,Daniel's Music Foundation,Music,,,
,P.S. M226,75M226,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",PK - 12,Inmaculada Jardi,Almita Magloire,Disney Theatrical,Theater,,,
,P.S. M226,75M226,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",PK - 12,Inmaculada Jardi,Almita Magloire,Inside Broadway / Midtown Management,Dance,,,
,P.S. M226,75M226,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",PK - 12,Inmaculada Jardi,Almita Magloire,"Jewish Museum, The",Visual Arts,,,
,P.S. M226,75M226,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",PK - 12,Inmaculada Jardi,Almita Magloire,Museum of Modern Art,Visual Arts,,,
,P.S. M721 - Manhattan Occupational Training Center,75M721,"06,07,08,09,10,11,12,SE",Middle and High School,Sholom Fried,N/A,Marquis Studios,Music,,,
,P.S. M811 - Mickey Mantle School,75M811,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Barry Daub,Julie Delvalle,Alvin Ailey Dance Foundation,Dance,,,
,P.S. M811 - Mickey Mantle School,75M811,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Barry Daub,Julie Delvalle,Enact,Theater,,,
